,State,Median Listing Price,UR,GDP,POP,INC,Coefficient
0,AK,337000.0,-0.028872644441898066,0.029700311750043902,-0.0033384386217821306,0.13131422978630852,0.6012458110352511
1,AL,272400.0,-0.08321678129016843,0.03120131312407794,0.002760544657666532,0.1180372352453456,1.9828027201801965
2,AR,220782.5,-0.04990798443347424,0.02994040756010135,0.0031518976985167855,0.09121932515337423,1.3068547138689008
3,AZ,445000.0,-0.022624433754541998,0.02916444431934516,0.017611086206477715,0.12622125950495272,1.5175931335583688
4,CA,769000.0,-0.050768440671325375,0.027943325030265555,-0.0017646251737858387,0.10250750366771202,1.0855317084654588
5,CO,584790.0,-0.015436417264229459,0.029199170430260345,0.008513319296164725,-0.00735228436162245,0.7854403665917236
6,CT,494450.0,-0.01714139123774119,0.031481343204044776,-0.0025314708113443126,0.18087106425238753,0.46008803484808525
7,DE,387450.0,-0.027182494577445423,0.027463654637856546,0.010329625402957973,0.13191960116661638,1.2469780721391366
8,FL,382450.0,-0.08530083442227379,0.0289283356428054,0.0111626979744786,0.06590450571620712,2.3879127641712237
9,GA,360000.0,-0.06098709098010349,0.030113667366652858,0.007685531466423019,0.01435317343862551,1.6785989010951519
10,HI,695000.0,-0.06694276822864524,0.02508052053881403,-0.006100010240924672,0.09396005091782957,1.177975944522129
11,IA,219756.0,-0.0405235761131724,0.03216361150636531,0.0012541481252334973,-0.03953343424450183,0.8979727172933517
12,ID,549999.5,-0.07721046254605467,0.03525458386184601,0.020936496904400817,0.11642451650149138,2.777967780366317
13,IL,269997.5,-0.053137948986446706,0.029471909877849155,-0.006294813248356886,0.058860969670135044,0.8658231067369231
14,IN,239445.0,-0.08574381446739282,0.03558424593066253,0.003550856482282721,0.10745348974997038,2.071041095073288
15,KS,219950.0,-0.06861373437671983,0.030454918240527925,0.0004015906408597191,0.1344090335475494,1.5876730896059876
16,KY,249900.0,-0.020590519732875137,0.03361803342796261,0.0010963091253467499,0.02008764528158088,0.5539495630623463
17,LA,275000.0,-0.01958042155962186,0.027072582619655196,-0.0027875833561634487,0.03410700236034618,0.34048143098392136
18,MA,659500.0,-0.05348355038840642,0.030256322518239377,-0.00018981003415164123,0.01565049525429182,1.1363436463513168
19,MD,377000.0,-0.03221021681482202,0.02656275901913628,0.00013998403730413323,0.10285211364448968,0.8071811698444094
20,ME,338750.0,-0.03489293633984696,0.029356977461167087,0.0032426674800125916,0.12591746599685327,1.0446235217167563
